"from"	"to"	"edge_creation_month"
1	2	"1"
3	4	"1"
5	2	"1"
6	7	"1"
8	7	"1"
9	10	"1"
9	11	"1"
12	13	"1"
9	14	"1"
9	15	"1"
9	16	"1"
9	17	"1"
9	14	"1"
9	18	"1"
19	18	"1"
20	21	"1"
19	22	"1"
8	23	"1"
9	24	"1"
9	22	"1"
25	21	"1"
26	7	"1"
27	28	"1"
29	25	"1"
30	31	"1"
30	31	"1"
30	31	"1"
30	31	"1"
32	33	"1"
34	35	"1"
34	33	"1"
36	37	"1"
38	39	"1"
36	40	"1"
41	15	"1"
41	11	"1"
41	14	"1"
41	13	"1"
41	39	"1"
41	42	"1"
41	43	"1"
9	40	"1"
44	45	"1"
46	22	"1"
44	46	"1"
47	46	"1"
48	46	"1"
9	49	"1"
36	50	"1"
44	51	"1"
32	52	"1"
36	32	"1"
53	54	"1"
36	55	"1"
56	57	"1"
36	32	"1"
36	58	"1"
44	59	"1"
51	58	"1"
44	14	"1"
36	56	"1"
36	60	"1"
56	61	"1"
62	50	"1"
36	60	"1"
32	59	"1"
36	60	"1"
36	50	"1"
41	63	"1"
41	64	"1"
41	65	"1"
41	56	"1"
41	61	"1"
41	43	"1"
41	52	"1"
41	58	"1"
41	59	"1"
9	64	"1"
9	58	"1"
12	66	"1"
32	58	"1"
12	66	"1"
67	32	"1"
41	32	"1"
67	32	"1"
32	68	"1"
68	56	"1"
67	32	"1"
67	32	"1"
68	61	"1"
67	32	"1"
67	8	"1"
69	67	"1"
70	51	"1"
44	50	"1"
67	32	"1"
71	58	"1"
71	72	"1"
51	58	"1"
72	71	"1"
73	74	"1"
74	73	"1"
73	74	"1"
74	73	"1"
34	58	"1"
44	75	"1"
44	75	"1"
9	58	"1"
73	74	"1"
9	76	"1"
32	77	"1"
41	76	"1"
41	78	"1"
79	48	"1"
79	63	"1"
41	80	"1"
79	58	"1"
41	81	"1"
79	70	"1"
19	82	"1"
19	72	"1"
12	32	"1"
19	64	"1"
19	58	"1"
19	58	"1"
19	58	"1"
19	52	"1"
83	59	"1"
51	70	"1"
38	58	"1"
41	58	"1"
63	79	"1"
41	63	"1"
67	59	"1"
41	63	"1"
41	58	"1"
44	84	"1"
19	85	"1"
19	72	"1"
3	84	"1"
